,UID,CardTier,Name,Team,Element,Element2,Element3,Element4,Position,Position5,Monster,Monster Type,Wound,Speed,Catch,Carry,Elusiveness,Tackle,PassBlock,RunBlock,Impact,Impact6,Special Attack Name,Special Attack Description,Special Attack Element,Special Attack Type,Special Attack Stat,Special Attack Stat Value,Special Attack Stat Value Type,Special Attack Trigger,Immunity Name,Immunity Element
1,HE1RB0001,1,Grim Ranjit,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,RB,Killer Abyssal Warrior,Med2,30,4,0.5,0.6,0.03,0.09,0.04,0.02,0.01,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
2,HE1OL0002,1,Onyx Silver,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,OL,Massive Hellion,Big2,40,5,0.4,0,0.01,0.01,0.06,0.1,0.03,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
3,HE1OL0003,1,Raven Damini,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,OL,Killer Abyssal Warrior,Med2,30,4,0.5,0.6,0.03,0.09,0.04,0.02,0.01,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
4,HE1OL0004,1,Jeckyll Neel,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,OL,Killer Abyssal Warrior,Med2,30,4,0.5,0.6,0.03,0.09,0.04,0.02,0.01,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
5,HE1R0005,1,Xerxes Derek,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,R,Speedy Shadow,Fast2,20,3,0.55,0.75,0.03,0.03,0.04,0.02,0.01,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
6,HE1R0006,1,Shiv Uttam,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,R,Speedy Shadow,Fast2,20,3,0.55,0.75,0.03,0.03,0.04,0.02,0.01,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
7,HE1S0007,1,Obsidian Kori,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,S,Killer Abyssal Warrior,Med2,30,4,0.5,0.6,0.03,0.09,0.04,0.02,0.01,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
8,HE1S0008,1,Jeffy Doom,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,S,Killer Abyssal Warrior,Med2,30,4,0.5,0.6,0.03,0.09,0.04,0.02,0.01,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
9,HE1DL0009,1,Ranger Chris,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,DL,Massive Hellion,Big2,40,5,0.4,0,0.01,0.01,0.06,0.1,0.03,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
10,HE1DL0010,1,Gray Freddy,Hellion,Fire,These are dark creatures known as Hellions who emerged from the bowels of the earth to win glory for the underworld!,Hellfire fist: Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire Resistance: Immune to Fire effects.,1,DL,Killer Abyssal Warrior,Med2,30,4,0.5,0.6,0.03,0.09,0.04,0.02,0.01,,Hellfire fist,Melee attack dealing 2 wounds to your enemy when you tackle an enemy.,Fire,Buff,Wound,2,Number,Tackling,Fire Resistance,Fire
